class,direction,rank,feature,coefficient
True_Correct,positive,1,four,0.5390058159828186
True_Correct,positive,2,sam,0.4346023201942444
True_Correct,positive,3,31,0.3883562684059143
True_Correct,positive,4,248,0.33971551060676575
True_Correct,positive,5,twelfth,0.3244003653526306
True_Correct,positive,6,60,0.32327985763549805
True_Correct,positive,7,##ths,0.2951053977012634
True_Correct,positive,8,happening,0.23839113116264343
True_Correct,positive,9,half,0.2320032169421514
True_Correct,positive,10,##ct,0.22531981766223907
True_Correct,positive,11,##18,0.19488823413848877
True_Correct,positive,12,giving,0.19435420632362366
True_Correct,positive,13,180,0.19097210466861725
True_Correct,positive,14,57,0.19033053517341614
True_Correct,positive,15,mixed,0.18193739652633667
True_Correct,positive,16,##ded,0.17132842540740967
True_Correct,positive,17,%,0.16740234196186066
True_Correct,positive,18,200,0.14998884250720343
True_Correct,positive,19,pairs,0.1489723026752472
True_Correct,positive,20,person,0.12967649102210999
True_Correct,positive,21,changes,0.12819558382034302
True_Correct,positive,22,calculation,0.11523219617083669
True_Correct,positive,23,knew,0.10747435688972473
True_Correct,positive,24,ten,0.10628491640090942
True_Correct,positive,25,witch,0.10569554567337036
True_Correct,negative,1,fifth,-1.209416151046753
True_Correct,negative,2,six,-0.5202937722206116
True_Correct,negative,3,zero,-0.4737268090248108
True_Correct,negative,4,##we,-0.41050902009010315
True_Correct,negative,5,column,-0.29798266291618347
True_Correct,negative,6,##6,-0.28399656899273396
True_Correct,negative,7,still,-0.2684575021266937
True_Correct,negative,8,##ater,-0.2479761689901352
True_Correct,negative,9,fifteenth,-0.22305990755558014
True_Correct,negative,10,##×,-0.18795910477638245
True_Correct,negative,11,twenty,-0.18407252430915833
True_Correct,negative,12,10th,-0.18236903846263885
True_Correct,negative,13,answered,-0.18115639686584473
True_Correct,negative,14,##fied,-0.16138872504234314
True_Correct,negative,15,##se,-0.13917522132396698
True_Correct,negative,16,36,-0.13560848217457533
True_Correct,negative,17,##per,-0.12518461048603058
True_Correct,negative,18,##pro,-0.11336414515972137
True_Correct,negative,19,parts,-0.11093148589134216
True_Correct,negative,20,chance,-0.10684363078325987
True_Correct,negative,21,stands,-0.10459030419588089
True_Correct,negative,22,##ing,-0.1043468713760376
True_Correct,negative,23,nine,-0.10059789195656776
True_Correct,negative,24,smallest,-0.08723701536655426
True_Correct,negative,25,20,-0.08531645685434341
False_Misconception,positive,1,##nt,0.6168395280838013
False_Misconception,positive,2,ar,0.5110605955123901
False_Misconception,positive,3,demon,0.4494854211807251
False_Misconception,positive,4,multiple,0.39150646328926086
False_Misconception,positive,5,bits,0.378925085067749
False_Misconception,positive,6,technique,0.30439889430999756
False_Misconception,positive,7,keep,0.29551810026168823
False_Misconception,positive,8,##ator,0.2549017369747162
False_Misconception,positive,9,fifth,0.2543122172355652
False_Misconception,positive,10,witch,0.21262429654598236
False_Misconception,positive,11,##ana,0.19161096215248108
False_Misconception,positive,12,flip,0.17856447398662567
False_Misconception,positive,13,45,0.1748376563191414
False_Misconception,positive,14,altogether,0.17308780550956726
False_Misconception,positive,15,ne,0.159407377243042
False_Misconception,positive,16,positive,0.15379313081502916
False_Misconception,positive,17,went,0.1533307135105133
False_Misconception,positive,18,method,0.15241789817810059
False_Misconception,positive,19,percent,0.11522741615772247
False_Misconception,positive,20,used,0.11519130319356918
False_Misconception,positive,21,36,0.11428154792104449
False_Misconception,positive,22,chance,0.10256397724151611
False_Misconception,positive,23,##ora,0.08926453441381454
False_Misconception,positive,24,three,0.08866413831710815
False_Misconception,positive,25,tell,0.08186731487512589
False_Misconception,negative,1,over,-0.4939976632595062
False_Misconception,negative,2,squared,-0.2798093259334564
False_Misconception,negative,3,k,-0.2671147286891937
False_Misconception,negative,4,whatever,-0.23844218254089355
False_Misconception,negative,5,simple,-0.22501283884048462
False_Misconception,negative,6,##fc,-0.22357355058193207
False_Misconception,negative,7,both,-0.19369274377822876
False_Misconception,negative,8,##ule,-0.18119032680988312
False_Misconception,negative,9,bot,-0.17471915483474731
False_Misconception,negative,10,27,-0.16963249444961548
False_Misconception,negative,11,weren,-0.1684049665927887
False_Misconception,negative,12,##t,-0.15889654060204825
False_Misconception,negative,13,##rr,-0.14228932559490204
False_Misconception,negative,14,doubles,-0.13186156749725342
False_Misconception,negative,15,through,-0.1199423298239708
False_Misconception,negative,16,50,-0.11541321873664856
False_Misconception,negative,17,##ter,-0.1126394271850586
False_Misconception,negative,18,decimal,-0.10773107409477234
False_Misconception,negative,19,while,-0.1042671799659729
