class,direction,rank,feature,coefficient
True_Correct,positive,1,mpnet_dim_444,0.13833336532115936
True_Correct,positive,2,mpnet_dim_92,0.1364869475364685
True_Correct,positive,3,mpnet_dim_267,0.1330491602420807
True_Correct,positive,4,mpnet_dim_530,0.12547823786735535
True_Correct,positive,5,mpnet_dim_40,0.12058453261852264
True_Correct,positive,6,mpnet_dim_361,0.12045348435640335
True_Correct,positive,7,mpnet_dim_656,0.10029152035713196
True_Correct,positive,8,mpnet_dim_749,0.0960688591003418
True_Correct,positive,9,mpnet_dim_297,0.09552538394927979
True_Correct,positive,10,mpnet_dim_761,0.09286822378635406
True_Correct,positive,11,mpnet_dim_415,0.09207496047019958
True_Correct,positive,12,mpnet_dim_614,0.08618094772100449
True_Correct,positive,13,mpnet_dim_336,0.08445513248443604
True_Correct,positive,14,mpnet_dim_263,0.08367667347192764
True_Correct,positive,15,mpnet_dim_137,0.08303657919168472
True_Correct,positive,16,mpnet_dim_249,0.0817672461271286
True_Correct,positive,17,mpnet_dim_260,0.07862996309995651
True_Correct,positive,18,mpnet_dim_289,0.0761808305978775
True_Correct,positive,19,mpnet_dim_270,0.0746970996260643
True_Correct,positive,20,mpnet_dim_630,0.07458662986755371
True_Correct,positive,21,mpnet_dim_697,0.07424211502075195
True_Correct,positive,22,mpnet_dim_3,0.07299511134624481
True_Correct,positive,23,mpnet_dim_641,0.07275983691215515
True_Correct,positive,24,mpnet_dim_373,0.07080733776092529
True_Correct,positive,25,mpnet_dim_617,0.07039737701416016
True_Correct,negative,1,mpnet_dim_231,-0.1473636031150818
True_Correct,negative,2,mpnet_dim_228,-0.11767873167991638
True_Correct,negative,3,mpnet_dim_528,-0.10849697142839432
True_Correct,negative,4,mpnet_dim_176,-0.10780365020036697
True_Correct,negative,5,mpnet_dim_729,-0.10181669890880585
True_Correct,negative,6,mpnet_dim_49,-0.08777035772800446
True_Correct,negative,7,mpnet_dim_623,-0.08122315257787704
True_Correct,negative,8,mpnet_dim_232,-0.08114776760339737
True_Correct,negative,9,mpnet_dim_202,-0.07950267195701599
True_Correct,negative,10,mpnet_dim_114,-0.07924085855484009
True_Correct,negative,11,mpnet_dim_63,-0.07903894782066345
True_Correct,negative,12,mpnet_dim_677,-0.07499057799577713
True_Correct,negative,13,mpnet_dim_319,-0.07374189049005508
True_Correct,negative,14,mpnet_dim_582,-0.07166528701782227
True_Correct,negative,15,mpnet_dim_592,-0.07125278562307358
True_Correct,negative,16,mpnet_dim_365,-0.06912848353385925
True_Correct,negative,17,mpnet_dim_313,-0.0662483274936676
True_Correct,negative,18,mpnet_dim_125,-0.06624618172645569
True_Correct,negative,19,mpnet_dim_57,-0.06454578042030334
True_Correct,negative,20,mpnet_dim_1,-0.06277643889188766
True_Correct,negative,21,mpnet_dim_487,-0.0618610754609108
True_Correct,negative,22,mpnet_dim_399,-0.06042676046490669
True_Correct,negative,23,mpnet_dim_400,-0.059776000678539276
True_Correct,negative,24,mpnet_dim_521,-0.05781381204724312
True_Correct,negative,25,mpnet_dim_121,-0.056685447692871094
False_Misconception,positive,1,mpnet_dim_141,0.16980275511741638
False_Misconception,positive,2,mpnet_dim_636,0.14925724267959595
False_Misconception,positive,3,mpnet_dim_244,0.13977958261966705
False_Misconception,positive,4,mpnet_dim_709,0.1343611478805542
False_Misconception,positive,5,mpnet_dim_590,0.13334858417510986
False_Misconception,positive,6,mpnet_dim_255,0.12218574434518814
False_Misconception,positive,7,mpnet_dim_629,0.12081749737262726
False_Misconception,positive,8,mpnet_dim_11,0.11213796585798264
False_Misconception,positive,9,mpnet_dim_8,0.10891865193843842
False_Misconception,positive,10,mpnet_dim_596,0.10867805778980255
False_Misconception,positive,11,mpnet_dim_313,0.10751789808273315
False_Misconception,positive,12,mpnet_dim_57,0.1055498719215393
False_Misconception,positive,13,mpnet_dim_531,0.1017065942287445
False_Misconception,positive,14,mpnet_dim_319,0.10155916213989258
False_Misconception,positive,15,mpnet_dim_23,0.10047163814306259
False_Misconception,positive,16,mpnet_dim_443,0.09987109899520874
False_Misconception,positive,17,mpnet_dim_209,0.09868831932544708
False_Misconception,positive,18,mpnet_dim_225,0.09834541380405426
False_Misconception,positive,19,mpnet_dim_189,0.09797510504722595
False_Misconception,positive,20,mpnet_dim_504,0.09495081007480621
False_Misconception,positive,21,mpnet_dim_496,0.09474185109138489
False_Misconception,positive,22,mpnet_dim_232,0.09468524158000946
False_Misconception,positive,23,mpnet_dim_668,0.09312866628170013
False_Misconception,positive,24,mpnet_dim_661,0.09244401752948761
False_Misconception,positive,25,mpnet_dim_90,0.09207163751125336
False_Misconception,negative,1,mpnet_dim_656,-0.15952199697494507
False_Misconception,negative,2,mpnet_dim_355,-0.13998013734817505
False_Misconception,negative,3,mpnet_dim_477,-0.13736897706985474
False_Misconception,negative,4,mpnet_dim_483,-0.12022610008716583
False_Misconception,negative,5,mpnet_dim_760,-0.11924336105585098
False_Misconception,negative,6,mpnet_dim_247,-0.11572498083114624
False_Misconception,negative,7,mpnet_dim_651,-0.10988906025886536
False_Misconception,negative,8,mpnet_dim_190,-0.1094973012804985
False_Misconception,negative,9,mpnet_dim_513,-0.10649450868368149
False_Misconception,negative,10,mpnet_dim_222,-0.10237300395965576
False_Misconception,negative,11,mpnet_dim_305,-0.10200213640928268
False_Misconception,negative,12,mpnet_dim_530,-0.0994042307138443
False_Misconception,negative,13,mpnet_dim_517,-0.09940280765295029
