class,direction,rank,feature,coefficient
True_Correct,positive,1,word::answer 15,5.369083714340715
True_Correct,positive,2,word::not shaded,3.759508940400606
True_Correct,positive,3,word::72 student,3.2557511745598156
True_Correct,positive,4,word::26,3.169831686778555
True_Correct,positive,5,word::answer 26,2.9188843897019905
True_Correct,positive,6,word::26 student,2.8694659737574404
True_Correct,positive,7,word::answer 72,2.807335985235324
True_Correct,positive,8,word::48 hours,2.7918511860038
True_Correct,positive,9,char:: -3 ,2.7280273436710907
True_Correct,positive,10,char::-3 ,2.7223103697533477
True_Correct,positive,11,char:: -3,2.6725834368731216
True_Correct,positive,12,word::72,2.5473844043876874
True_Correct,positive,13,word::12 student,2.487320635352535
True_Correct,positive,14,char:: 2 ,1.9995738329986847
True_Correct,positive,15,word::are not,1.971167566613758
True_Correct,positive,16,word::from 24,1.7639515192796624
True_Correct,positive,17,word::likely student,1.7242525624394922
True_Correct,positive,18,word::answer likely,1.7242525624394922
True_Correct,positive,19,word::than half,1.709451079059252
True_Correct,positive,20,char::1/6,1.6864495712733447
True_Correct,positive,21,word::times frac,1.6572954218300786
True_Correct,positive,22,char::26 ,1.6365630410453582
True_Correct,positive,23,char::.20,1.612078913428431
True_Correct,positive,24,char:: 26 ,1.53305010877486
True_Correct,positive,25,char::6.20,1.5312377008602542
True_Correct,negative,1,word::are shaded,-3.759553838274509
True_Correct,negative,2,word::48 student,-2.786472626059384
True_Correct,negative,3,word::answer student,-2.7640719834104788
True_Correct,negative,4,char:: 4 ,-2.286489671558636
True_Correct,negative,5,char::/4 ,-2.139253403447265
True_Correct,negative,6,word::and tenths,-1.8887093851852688
True_Correct,negative,7,word::13,-1.7678988155571325
True_Correct,negative,8,word::frac frac,-1.7564503800395987
True_Correct,negative,9,char::-5 ,-1.7172526457055055
True_Correct,negative,10,word::them times,-1.6749775171614525
True_Correct,negative,11,word::768,-1.6507725166205338
True_Correct,negative,12,char:: 3/6,-1.6164924179289968
True_Correct,negative,13,char::3/6,-1.6056321432524725
True_Correct,negative,14,char::2/1,-1.5896595543517131
True_Correct,negative,15,word::answer frac,-1.560717165939291
True_Correct,negative,16,word::64,-1.5524627483098525
True_Correct,negative,17,word::top to,-1.5465409246500503
True_Correct,negative,18,word::is shaded,-1.535519401898841
True_Correct,negative,19,word::768 hours,-1.4671645487057006
True_Correct,negative,20,word::all together,-1.4423707984230987
True_Correct,negative,21,word::which turned,-1.4306259152575977
True_Correct,negative,22,char::{2}{1,-1.4267909653693491
