class,direction,rank,feature,coefficient
True_Correct,positive,1,mpnet_dim_305,8110.75036060015
True_Correct,positive,2,mpnet_dim_739,5268.57677474045
True_Correct,positive,3,mpnet_dim_185,3233.07591725385
True_Correct,positive,4,mpnet_dim_498,3032.9591147179
True_Correct,positive,5,mpnet_dim_86,2933.807164461552
True_Correct,positive,6,mpnet_dim_222,2895.627118594948
True_Correct,positive,7,mpnet_dim_1,2686.205084532893
True_Correct,positive,8,mpnet_dim_107,2484.93322739842
True_Correct,positive,9,mpnet_dim_581,2362.855625056235
True_Correct,positive,10,mpnet_dim_340,2359.18185241399
True_Correct,positive,11,mpnet_dim_592,2172.2586682125498
True_Correct,positive,12,mpnet_dim_32,2139.18281207852
True_Correct,positive,13,mpnet_dim_673,2091.65164579139
True_Correct,positive,14,mpnet_dim_373,2054.1212165687
True_Correct,positive,15,mpnet_dim_556,1902.8061286821
True_Correct,positive,16,mpnet_dim_694,1868.45651359426
True_Correct,positive,17,mpnet_dim_309,1750.87745572254
True_Correct,positive,18,mpnet_dim_164,1732.6357178878
True_Correct,positive,19,mpnet_dim_444,1718.3094481023
True_Correct,positive,20,mpnet_dim_215,1676.98014807695
True_Correct,positive,21,mpnet_dim_717,1639.5122202368
True_Correct,positive,22,mpnet_dim_411,1462.3150427554
True_Correct,positive,23,mpnet_dim_681,1461.8124461447
True_Correct,positive,24,mpnet_dim_360,1442.89276034922
True_Correct,positive,25,mpnet_dim_633,1410.4028829236
False_Misconception,positive,1,mpnet_dim_473,3439.15483739306
False_Misconception,positive,2,mpnet_dim_32,3368.2782044816
False_Misconception,positive,3,mpnet_dim_246,2912.81166224835
False_Misconception,positive,4,mpnet_dim_141,2904.137020871
False_Misconception,positive,5,mpnet_dim_208,2710.4497817689
False_Misconception,positive,6,mpnet_dim_297,2658.7991796806
False_Misconception,positive,7,mpnet_dim_220,2351.2870953814
False_Misconception,positive,8,mpnet_dim_255,2194.3976445174
