model,run_name,macro_f1,accuracy,train_seconds,output_dir,config_json
xgboost,xgb_lr005_d8_est500_ss09_cs09_l1,0.7969685529227056,0.8358310626702997,10.111367225646973,experiments/tuning_runs/xgboost/xgb_lr005_d8_est500_ss09_cs09_l1,"[""--device"", ""cuda"", ""--n-estimators"", ""500"", ""--max-depth"", ""8"", ""--learning-rate"", ""0.05"", ""--subsample"", ""0.9"", ""--colsample-bytree"", ""0.9"", ""--reg-lambda"", ""1.0"", ""--early-stopping-rounds"", ""30"", ""--n-jobs"", ""8""]"
xgboost,xgb_lr003_d10_est900_ss09_cs09_l1,0.7960503103252288,0.8362397820163487,18.208921194076538,experiments/tuning_runs/xgboost/xgb_lr003_d10_est900_ss09_cs09_l1,"[""--device"", ""cuda"", ""--n-estimators"", ""900"", ""--max-depth"", ""10"", ""--learning-rate"", ""0.03"", ""--subsample"", ""0.9"", ""--colsample-bytree"", ""0.9"", ""--reg-lambda"", ""1.0"", ""--early-stopping-rounds"", ""40"", ""--n-jobs"", ""8""]"
xgboost,xgb_lr007_d8_est600_ss08_cs09_l1,0.7973456675333748,0.8366485013623978,7.881536483764648,experiments/tuning_runs/xgboost/xgb_lr007_d8_est600_ss08_cs09_l1,"[""--device"", ""cuda"", ""--n-estimators"", ""600"", ""--max-depth"", ""8"", ""--learning-rate"", ""0.07"", ""--subsample"", ""0.8"", ""--colsample-bytree"", ""0.9"", ""--reg-lambda"", ""1.0"", ""--early-stopping-rounds"", ""30"", ""--n-jobs"", ""8""]"
xgboost,xgb_lr005_d12_est700_ss09_cs08_l2,0.7930806570020765,0.8339237057220709,14.821900844573975,experiments/tuning_runs/xgboost/xgb_lr005_d12_est700_ss09_cs08_l2,"[""--device"", ""cuda"", ""--n-estimators"", ""700"", ""--max-depth"", ""12"", ""--learning-rate"", ""0.05"", ""--subsample"", ""0.9"", ""--colsample-bytree"", ""0.8"", ""--reg-lambda"", ""2.0"", ""--early-stopping-rounds"", ""40"", ""--n-jobs"", ""8""]"
xgboost,xgb_lr004_d10_est1200_ss085_cs085_l15,0.7990207201345492,0.8385558583106267,13.42348051071167,experiments/tuning_runs/xgboost/xgb_lr004_d10_est1200_ss085_cs085_l15,"[""--device"", ""cuda"", ""--n-estimators"", ""1200"", ""--max-depth"", ""10"", ""--learning-rate"", ""0.04"", ""--subsample"", ""0.85"", ""--colsample-bytree"", ""0.85"", ""--reg-lambda"", ""1.5"", ""--early-stopping-rounds"", ""50"", ""--n-jobs"", ""8""]"
mlp,mlp_h768_do02_lr1e3_bs1024,0.7664015042750335,0.8046321525885558,8.142605543136597,experiments/tuning_runs/mlp/mlp_h768_do02_lr1e3_bs1024,"[""--device"", ""cuda"", ""--epochs"", ""20"", ""--batch-size"", ""1024"", ""--hidden-dim"", ""768"", ""--dropout"", ""0.2"", ""--learning-rate"", ""0.001"", ""--weight-decay"", ""0.0001"", ""--patience"", ""5""]"
mlp,mlp_h1024_do02_lr1e3_bs1024,0.7692385855082018,0.7982288828337875,8.058614730834961,experiments/tuning_runs/mlp/mlp_h1024_do02_lr1e3_bs1024,"[""--device"", ""cuda"", ""--epochs"", ""20"", ""--batch-size"", ""1024"", ""--hidden-dim"", ""1024"", ""--dropout"", ""0.2"", ""--learning-rate"", ""0.001"", ""--weight-decay"", ""0.0001"", ""--patience"", ""5""]"
mlp,mlp_h1024_do03_lr8e4_bs1024,0.7795329404139544,0.8102179836512261,9.546855449676514,experiments/tuning_runs/mlp/mlp_h1024_do03_lr8e4_bs1024,"[""--device"", ""cuda"", ""--epochs"", ""24"", ""--batch-size"", ""1024"", ""--hidden-dim"", ""1024"", ""--dropout"", ""0.3"", ""--learning-rate"", ""0.0008"", ""--weight-decay"", ""0.0002"", ""--patience"", ""6""]"
mlp,mlp_h768_do01_lr15e3_bs512,0.7895311893578476,0.8151226158038147,14.2245454788208,experiments/tuning_runs/mlp/mlp_h768_do01_lr15e3_bs512,"[""--device"", ""cuda"", ""--epochs"", ""24"", ""--batch-size"", ""512"", ""--hidden-dim"", ""768"", ""--dropout"", ""0.1"", ""--learning-rate"", ""0.0015"", ""--weight-decay"", ""0.00005"", ""--patience"", ""6""]"
mlp,mlp_h512_do02_lr2e3_bs1024,0.7672810989245177,0.7931880108991826,8.129965782165527,experiments/tuning_runs/mlp/mlp_h512_do02_lr2e3_bs1024,"[""--device"", ""cuda"", ""--epochs"", ""20"", ""--batch-size"", ""1024"", ""--hidden-dim"", ""512"", ""--dropout"", ""0.2"", ""--learning-rate"", ""0.002"", ""--weight-decay"", ""0.0001"", ""--patience"", ""5""]"
